type,count
高校生以下の連れの家族,1
友人とそのペット(犬)達,1
娘夫婦、兄家族,1
高校生の息子と夫,1
配偶者、娘、義母,1
成人した子ども,1
両親と兄弟,1
部活,1
妻・娘,1
家族、社会人の子ども,1
往復及び1泊は１人であとは知人と合流,1
先様,1
登山ガイドのお客様,1
愛知県,1
家族全員(7人),1
夫婦と家族,1
夫婦、社会人娘,1
職場,1
家族　大人4人,1
高校生以上連れ家族,1
子供、孫,1
夫婦2人に親の3人,1
成人した子供と夫婦,1
両親と30歳以上の息子,1
小学生以下の子供3人と祖母含めて６人旅行でした。,1
夫婦とワンコ三頭,1
フランスから来日した友人家族,1
途中から友人が合流,1
成人家族4人,1
出張,1
娘夫婦と孫,1
親戚2名と夫婦,1
愛犬,1
親、小学生以下連れの家族,1
友人夫婦と２組で,1
夫婦2人と犬2匹,1
夫婦2人&犬2匹,1
お客様をお連れしておりますので、22名と一緒です。,1
ミャクミャク様ほか,1
自分の家族と母と姉家族,1
親族および叔父,1
小学生以下中学生以上連れの家族,1
父、兄、義理の姉、甥っ子,1
母親、6歳、0歳の子供,1
夫婦と親子一人,1
親と甥,1
小学生以下連れの家族、両親、祖母,1
母と夫婦、3人,1
研修大会,1
PTA関係,1
70代両親、40代妹、10代姪,1
kazoku,1
家族（7名）,1
両親と子どもの3世帯,1
両親　子供　兄,1
前半は友だち、後半は両親,1
子供の家族,1
父親、弟、自分の子ども,1
恋人と恋人の父親,1
孫2人,1
両親,1
大人のみの家族,1
3姉妹,1
親族11人,1
友人および小学生家族,1
夫と夫の父と姉夫婦,1
夫婦、義父母、義姉夫婦,1
いとこ夫婦と私共夫婦,1
ワンコ,1
家族いとこ,1
親と小学生以下の家族,1
家族親戚,1
主人と娘,1
家族一堂,1
夫婦　愛犬,1
祖父祖母,1
祖父祖母、両親、夫婦、娘,1
家族と愛犬二頭,1
親族旅行,1
友人夫婦と４人,1
三世帯,1
三世代,1
妻と友人,1
親、小学生以下からの家族,1
親・祖母・親戚,1
家内,1
一泊は仕事なので1人,1
夫婦、子供家族と孫,1
娘夫婦と,1
義理母,1
主人と義両親,1
成人した大人,1
両親、兄妹,1
夫婦と母親に犬,1
夫と母,1
子供一家,1
石川県人,1
家族(夫婦、成人娘）,1
子供　高校生　大学生　親,1
成人の家族,1
4世代11人,1
親兄弟子供,1
",夫婦と孫",1
幼馴染親子,1
友人と子供,1
夫婦、兄,1
親、妹,1
夫婦、学生の子供,1
配偶者と子どもと孫,1
名門大洋フェリー,1
県外の子供と,1
義実家と恋人,1
配偶者と高校生以上の子ども,1
成人の子どもと親子2人,1
成人した子供連れの家族,1
夫婦2人と親2人,1
会社の社長,1
羽生結弦さんのファンの友人と,1
親、兄弟、叔父夫婦,1
帰省,1
自宅へ帰る,1
娘、孫、夫婦,1
7人家族,1
結婚式の為、3家族　9人,1
夫婦と親と親戚,1
